Albania Bhutan Vietnam CapeVerde Canada Liechtenstein Canada BosHerzegovina Italy TheGambia Paraguay Vanuatu Brunei Albania Newfoundland Swaziland Burkina Finland Norway RussianFederation Paraguay Thailand Portugal Paraguay Jamaica Lesotho Latvia Dominica Serbia Fiji SaintLucia Burma Israel Romania Panama Djibouti Tunisia Vietnam Canada SriLanka IvoryCoast Yemen Canada Albania Maldives SolomonIslands Netherlands Danzig Togo Rome Kazakhstan NewZealand Netherlands Nepal UnitedKingdom Laos Netherlands France Ukraine Vietnam Vietnam Netherlands Netherlands Netherlands Switzerland Venezuela Canada Canada Albania Canada EquatorGuinea Canada Canada Mongolia Canada Ethiopia Canada Albania Gabon Albania MountAthos Estonia VaticanCity Qatar Mauritania Albania SaoTomPrincipe UAE NorthKorea Albania America SierraLeone Albania Albania Seychelles PapuaNewGuinea Albania Lithuania Poland Tanzania Argentina Albania Albania Albania Mali Albania Slovenia SaintKitts Albania
73
Canada Peru Bulgaria Luxembourg Bahamas Guatemala Algeria Belarus
Albania Eritrea Kosovo Rwanda Japan Comoros Germany Cyprus Chile Suriname Greece Andorra SaudiArabia Brazil Malaysia
Swaziland Cuba
Paraguay Niger Grenada Paraguay
Netherlands CentralAfricanRep Philippines Australia Pakistan Mauritius Kiribati
Vietnam Hungary
Ethiopia Cambodia Ethiopia
Rome Rome
Burkina Burkina
SolomonIslands SolomonIslands
IvoryCoast IvoryCoast
BosHerzegovina BosHerzegovina
VaticanCity VaticanCity
EquatorGuinea EquatorGuinea
Djibouti Djibouti
Mauritania Mauritania
Thailand Thailand
Nepal Nepal
Estonia Estonia
Italy Italy
Norway Norway
Panama Panama
Mongolia Mongolia
UnitedKingdom UnitedKingdom
Laos Laos
America America
MountAthos MountAthos
Dominica Dominica
CapeVerde CapeVerde
Latvia Latvia
Burma Burma
SierraLeone SierraLeone
Kazakhstan Kazakhstan
Portugal Portugal
Danzig Danzig
Jamaica Jamaica
Tunisia Tunisia
Qatar Qatar
Argentina Argentina
Tanzania Tanzania
Ukraine Ukraine
Yemen Yemen
France France
Newfoundland Newfoundland
Slovenia Slovenia
Lesotho Lesotho
Romania Romania
Bhutan Bhutan
NorthKorea NorthKorea
SaintLucia SaintLucia
Gabon Gabon
SaintKitts SaintKitts
Vanuatu Vanuatu
SaoTomPrincipe SaoTomPrincipe
RussianFederation RussianFederation
UAE UAE
SriLanka SriLanka
Togo Togo
Poland Poland
Israel Israel
Switzerland Switzerland
Seychelles Seychelles
Venezuela Venezuela
NewZealand NewZealand
PapuaNewGuinea PapuaNewGuinea
Finland Finland
Mali Mali
TheGambia TheGambia
Liechtenstein Liechtenstein
Lithuania Lithuania
Serbia Serbia
Maldives Maldives
Fiji Fiji
